Tipo Documental,Palavras-Chave
Ata de Reunião,"data, participantes, pauta, decisões, assuntos, discussões, aprovação, ações, próximas etapas"
Nota Fiscal,"produto, valor, quantidade, impostos, data, cliente, empresa, código, descrição"
Contrato de Trabalho,"empregado, empregador, salário, jornada, benefícios, vínculo, cláusulas, demissão, contrato"
Declaração,"identidade, comprovação, assinatura, validade, data, responsável, autenticidade, motivo, declaração"
Atestado,"certificação, autenticidade, assinatura, data, validade, declaração, responsável, motivo, certidão"
Relatório Técnico,"projeto, metodologia, resultados, análise, conclusão, dados, testes, execução, recomendações"
Proposta Comercial,"orçamento, produto, serviços, prazo, condições, preço, cliente, contrato, propostas, negociações"
Contrato,"partes, condições, pagamento, termo, obrigação, data, rescisão, valor, assinatura"
Relatório Financeiro,"receita, lucro, despesas, balanço, fluxo de caixa, ativos, passivos, auditoria, orçamento, contas"
Ata de Reunião,"reunião, decisão, participantes, data, pauta, discussões, ações, aprovações, próximos passos"
Nota Fiscal,"emissão, valor, produto, quantidade, cliente, imposto, código, data, empresa"
Contrato de Trabalho,"acordo, salário, direitos, deveres, vínculo, período, benefícios, contrato, jornada, demissão"
Declaração,"certificação, autenticidade, assinatura, data, validade, declaração, responsável, motivo, certidão"
Atestado,"comprovação, declaração, validade, autenticidade, data, assinatura, motivo, responsável, certidão"
Relatório Técnico,"análise, resultados, projeto, execução, dados, recomendações, metodologia, testes, conclusões"
Proposta Comercial,"condições, orçamento, cliente, produto, serviço, preço, prazo, proposta, negociação, contrato"
Contrato,"cláusulas, partes, assinatura, obrigações, data, validade, valor, rescisão, termos"
Relatório Financeiro,"balanço, lucro, receitas, despesas, caixa, análise, passivo, ativo, orçamento, relatório"
Ata de Reunião,"decisões, participantes, pauta, data, ações, discussão, próxima reunião, aprovações, resultados, assuntos"
Nota Fiscal,"código, descrição, valor, cliente, produto, quantidade, data, empresa, impostos, emissão"
Contrato de Trabalho,"benefícios, empregado, salário, jornada, vínculo, cláusulas, direitos, demissão, acordos"
Declaração,"identidade, validade, assinatura, data, declaração, autenticidade, responsável, motivo, certidão"
Atestado,"certificação, assinatura, validade, data, comprovação, responsável, motivo, declaração, certidão"
Relatório Técnico,"dados, conclusão, análise, metodologia, resultados, projeto, testes, recomendações, execução, relatório"
Proposta Comercial,"prazo, cliente, produto, serviço, orçamento, condições, preço, negociação, proposta, contrato"
Contrato,"validade, pagamento, cláusulas, partes, rescisão, valores, termos, data, assinatura, obrigações"
Relatório Financeiro,"despesas, receitas, lucro, balanço, caixa, ativo, passivo, auditoria, análise, relatório"
Ata de Reunião,"pauta, decisões, participantes, data, discussão, ações, próximas etapas, aprovações, assuntos"
Nota Fiscal,"valor, quantidade, produto, cliente, código, data, empresa, descrição, impostos, emissão"
Contrato de Trabalho,"salário, jornada, benefícios, empregado, empregador, cláusulas, demissão, vínculo, acordo, direitos"
Declaração,"assinatura, autenticidade, validade, data, declaração, comprovação, responsável, motivo, certidão"
Atestado,"autenticidade, assinatura, validade, data, declaração, comprovação, responsável, motivo, certidão"
Relatório Técnico,"projeto, análise, dados, metodologia, conclusão, resultados, testes, execução, recomendações, relatório"
Proposta Comercial,"cliente, orçamento, prazo, serviço, produto, preço, proposta, negociação, contrato, condições"
Contrato,"contrato, cláusula, assinaturas"
Relatório Financeiro,"receitas, despesas, balanço"
Ata de Reunião,"participantes, decisões, agenda"
Nota Fiscal,"produto, valor, imposto"
Contrato de Trabalho,"empregador, empregado, salário"
Declaração e Atestado,"declaração, comprovante, atestado"
Relatório Técnico,"análise, resultados, metodologia"
Proposta Comercial,"proposta, cliente, condições"
Contrato,"acordos, termos, vigência"
Relatório Financeiro,"fluxo de caixa, lucro, despesas"
Ata de Reunião,"reuniões, ata, discussão"
Nota Fiscal,"item, quantidade, preço"
Contrato de Trabalho,"contrato, jornada, benefícios"
Declaração e Atestado,"documento, validade, reconhecimento"
Relatório Técnico,"especificações, testes, resultados"
Proposta Comercial,"orçamento, negociações, termos"
Contrato,"obrigações, responsabilidades, contrato"
Relatório Financeiro,"balanço, relatório, análise"
Ata de Reunião,"minuta, conclusões, participantes"
Nota Fiscal,"imposto, compra, venda"
Contrato de Trabalho,"contrato, experiência, cargo"
Declaração e Atestado,"oficial, autorização, prova"
Relatório Técnico,"dados, metodologia, conclusão"
Proposta Comercial,"proposta, termos, valor"
Contrato,"cláusulas, garantias, assinatura"
Relatório Financeiro,"receita, lucro, despesas"
Ata de Reunião,"pontos discutidos, conclusão, participantes"
Nota Fiscal,"valor, produto, quantidade"
Contrato de Trabalho,"regulamentação, direitos, deveres"
Declaração e Atestado,"declaração, atestado, certificação"
Relatório Técnico,"testes, análise, procedimentos"
Proposta Comercial,"proposta, condições, prazo"
Contrato,"negociação, validade, obrigações"
Relatório Financeiro,"balanço, contas, receita"
Ata de Reunião,"resumo, ata, decisões"
Nota Fiscal,"pagamento, nota, imposto"
Contrato de Trabalho,"trabalho, cláusulas, contrato"
Declaração e Atestado,"documento, prova, validade"
Relatório Técnico,"resultados, análise, dados"
Proposta Comercial,"proposta, valor, detalhes"
Contrato,"acordos, cláusulas, termos"
Relatório Financeiro,"receitas, lucros, despesas"
Ata de Reunião,"reuniões, decisões, participantes"
Nota Fiscal,"imposto, produto, quantidade"
Contrato de Trabalho,"salário, benefícios, contrato"
Declaração e Atestado,"documento, atestado, comprovação"
Relatório Técnico,"metodologia, análise, resultados"
Proposta Comercial,"proposta, cliente, condições"
Contrato,"cláusulas, obrigações, assinaturas"
Relatório Financeiro,"fluxo de caixa, despesas, receitas"
Ata de Reunião,"ata, discussão, participantes"
Nota Fiscal,"item, valor, imposto"
Contrato de Trabalho,"contrato, salário, benefícios"
Declaração e Atestado,"certificado, declaração, comprovante"
Relatório Técnico,"análise, procedimentos, resultados"
Proposta Comercial,"termos, proposta, negociação"
Contrato,"termos, condições, assinatura"
Relatório Financeiro,"balanço, lucros, contas"
Ata de Reunião,"resumo, discussões, conclusão"
Nota Fiscal,"quantidade, produto, valor"
Contrato de Trabalho,"jornada, benefícios, contrato"
Declaração e Atestado,"prova, certificação, declaração"
Relatório Técnico,"dados, análises, resultados"
Proposta Comercial,"cliente, proposta, condições"
Contrato,"acordos, termos, cláusulas"
Relatório Financeiro,"lucro, receita, despesas"
Ata de Reunião,"decisões, reunião, participantes"
Nota Fiscal,"valor, imposto, produto"
Contrato de Trabalho,"contrato, experiência, cargo"
Declaração e Atestado,"documento, atestado, prova"
Relatório Técnico,"testes, resultados, análise"
Proposta Comercial,"valor, proposta, condições"
Contrato,"cláusulas, garantias, assinatura"
Relatório Financeiro,"balanço, fluxo, despesas"
Ata de Reunião,"resumo, ata, discussão"
Nota Fiscal,"item, quantidade, valor"
Contrato de Trabalho,"salário, contrato, jornada"
Declaração e Atestado,"declaração, comprovação, validade"
Relatório Técnico,"análise, metodologia, resultados"
Proposta Comercial,"condições, proposta, cliente"
Contrato,"assinatura, cláusulas, termos"
Relatório Financeiro,"despesas, receitas, balanço"
Ata de Reunião,"conclusão, ata, discussão"
Nota Fiscal,"quantidade, imposto, valor"
Contrato de Trabalho,"cláusulas, benefícios, experiência"
Declaração e Atestado,"certificação, declaração, prova"
Relatório Técnico,"dados, resultados, análise"
Proposta Comercial,"cliente, termos, proposta"
Contrato,"obrigações, termos, assinatura"
Relatório Financeiro,"balanço, lucro, despesas"
Ata de Reunião,"discussão, conclusões, ata"
Nota Fiscal,"produto, valor, quantidade"
Contrato de Trabalho,"contrato, jornada, benefícios"
Declaração e Atestado,"prova, certificação, documento"
Relatório Técnico,"análise, metodologia, dados"
Proposta Comercial,"condições, cliente, proposta"
Contrato,"condições, cláusulas, assinatura"
Relatório Financeiro,"receitas, balanço, despesas"
Ata de Reunião,"participantes, ata, decisões"
Nota Fiscal,"quantidade, valor, imposto"
Contrato de Trabalho,"contrato, cargo, benefícios"
Declaração e Atestado,"certificação, declaração, validade"
Relatório Técnico,"metodologia, resultados, análise"
Proposta Comercial,"proposta, termos, cliente"
Contrato,"termos, cláusulas, validade"
Relatório Financeiro,"despesas, receita, balanço"
Ata de Reunião,"conclusão, ata, discussão"
Nota Fiscal,"valor, imposto, produto"
Contrato de Trabalho,"experiência, salário, contrato"
Declaração e Atestado,"documento, prova, atestado"
Relatório Técnico,"resultados, análise, dados"
Proposta Comercial,"cliente, proposta, condições"
Contrato,"cláusulas, termos, garantias"
Relatório Financeiro,"balanço, lucro, receitas"
Ata de Reunião,"ata, discussões, participantes"
Nota Fiscal,"produto, quantidade, valor"
Contrato de Trabalho,"jornada, benefícios, contrato"
Declaração e Atestado,"atestado, declaração, comprovação"
Relatório Técnico,"análise, dados, resultados"
Proposta Comercial,"proposta, termos, cliente"
Contrato,"termos, assinaturas, cláusulas"
Relatório Financeiro,"receita, despesas, balanço"
Ata de Reunião,"participantes, decisões, ata"
Nota Fiscal,"imposto, produto, valor"
Contrato de Trabalho,"contrato, salário, benefícios"
Declaração e Atestado,"declaração, comprovação, atestado"
Relatório Técnico,"metodologia, resultados, dados"
Proposta Comercial,"cliente, proposta, condições"
Contrato,"assinatura, condições, cláusulas"
Relatório Financeiro,"receitas, balanço, despesas"
Ata de Reunião,"conclusões, discussão, ata"
Nota Fiscal,"produto, valor, quantidade"
Contrato de Trabalho,"contrato, jornada, benefícios"
Declaração e Atestado,"atestado, certificação, documento"
Relatório Técnico,"dados, análise, resultados"
Proposta Comercial,"proposta, termos, cliente"
Contrato,"cláusulas, termos, garantias"
Contrato,"assinatura, partes, cláusulas, data, valores, obrigações, termos, validade, rescisão"
Relatório Financeiro,"receita, despesa, lucro, balanço, ativo, passivo, caixa, relatório, análise, orçamento"
Ata de Reunião,"data, participantes, pauta, decisões, assuntos, discussões, aprovação, ações, próximas etapas"
Nota Fiscal,"produto, valor, quantidade, impostos, data, cliente, empresa, código, descrição"
Contrato de Trabalho,"empregado, empregador, salário, jornada, benefícios, vínculo, cláusulas, demissão, contrato"
Declaração,"identidade, comprovação, assinatura, validade, data, responsável, autenticidade, motivo, declaração"
Atestado,"certificação, autenticidade, assinatura, data, validade, declaração, responsável, motivo, certidão"
Relatório Técnico,"projeto, metodologia, resultados, análise, conclusão, dados, testes, execução, recomendações"
Proposta Comercial,"orçamento, produto, serviços, prazo, condições, preço, cliente, contrato, propostas, negociações"
Contrato,"partes, condições, pagamento, termo, obrigação, data, rescisão, valor, assinatura"
Relatório Financeiro,"receita, lucro, despesas, balanço, fluxo de caixa, ativos, passivos, auditoria, orçamento, contas"
Ata de Reunião,"reunião, decisão, participantes, data, pauta, discussões, ações, aprovações, próximos passos"
Nota Fiscal,"emissão, valor, produto, quantidade, cliente, imposto, código, data, empresa"
Contrato de Trabalho,"acordo, salário, direitos, deveres, vínculo, período, benefícios, contrato, jornada, demissão"
Declaração,"certificação, autenticidade, assinatura, data, validade, declaração, responsável, motivo, certidão"
Atestado,"comprovação, declaração, validade, autenticidade, data, assinatura, motivo, responsável, certidão"
Relatório Técnico,"análise, resultados, projeto, execução, dados, recomendações, metodologia, testes, conclusões"
Proposta Comercial,"condições, orçamento, cliente, produto, serviço, preço, prazo, proposta, negociação, contrato"
Contrato,"cláusulas, partes, assinatura, obrigações, data, validade, valor, rescisão, termos"
Relatório Financeiro,"balanço, lucro, receitas, despesas, caixa, análise, passivo, ativo, orçamento, relatório"
Ata de Reunião,"decisões, participantes, pauta, data, ações, discussão, próxima reunião, aprovações, resultados, assuntos"
Nota Fiscal,"código, descrição, valor, cliente, produto, quantidade, data, empresa, impostos, emissão"
Contrato de Trabalho,"benefícios, empregado, salário, jornada, vínculo, cláusulas, direitos, demissão, acordos"
Declaração,"identidade, validade, assinatura, data, declaração, autenticidade, responsável, motivo, certidão"
Atestado,"autenticidade, assinatura, validade, data, declaração, comprovação, responsável, motivo, certidão"
Relatório Técnico,"projeto, análise, dados, metodologia, conclusão, resultados, testes, execução, recomendações, relatório"
Proposta Comercial,"cliente, orçamento, prazo, serviço, produto, preço, proposta, negociação, contrato, condições"
Contrato,"validade, pagamento, cláusulas, partes, rescisão, valores, termos, data, assinatura, obrigações"
Relatório Financeiro,"despesas, receitas, lucro, balanço, caixa, ativo, passivo, auditoria, análise, relatório"
Ata de Reunião,"pauta, decisões, participantes, data, discussão, ações, próximas etapas, aprovações, assuntos"
Nota Fiscal,"valor, quantidade, produto, cliente, código, data, empresa, descrição, impostos, emissão"
Contrato de Trabalho,"salário, jornada, benefícios, empregado, empregador, cláusulas, demissão, vínculo, acordo, direitos"
Declaração,"assinatura, autenticidade, validade, data, declaração, comprovação, responsável, motivo, certidão"
Atestado,"autenticidade, assinatura, validade, data, declaração, comprovação, responsável, motivo, certidão"
Relatório Técnico,"projeto, análise, dados, metodologia, conclusão, resultados, testes, execução, recomendações, relatório"
Proposta Comercial,"cliente, orçamento, prazo, serviço, produto, preço, proposta, negociação, contrato, condições"
Contrato,"partes, cláusulas, data, rescisão, assinatura, valor, obrigações, termos, validade, pagamento"
Relatório Financeiro,"lucro, despesas, receitas, balanço, ativo, passivo, caixa, auditoria, orçamento, análise"
Ata de Reunião,"decisões, pauta, participantes, data, discussão, ações, próximas etapas, aprovações, resultados"
Nota Fiscal,"produto, valor, quantidade, código, cliente, empresa, data, descrição, impostos, emissão"
Contrato de Trabalho,"jornada, benefícios, cláusulas, salário, empregado, vínculo, direitos, demissão, acordos, empregador"
Declaração,"autenticidade, assinatura, validade, data, declaração, motivo, responsável, certidão, comprovação"
Atestado,"assinatura, validade, autenticidade, data, declaração, motivo, certidão, responsável, comprovação"
Relatório Técnico,"metodologia, dados, conclusão, análise, resultados, execução, recomendações, testes, projeto, relatório"
Proposta Comercial,"produto, cliente, preço, orçamento, prazo, condições, serviço, proposta, negociação, contrato"
Contrato,"rescisão, cláusulas, assinatura, partes, valor, validade, obrigações, termos, data, pagamento"
Relatório Financeiro,"receitas, despesas, lucro, balanço, ativo, passivo, caixa, auditoria, orçamento, análise"
Ata de Reunião,"pauta, decisões, participantes, data, discussão, ações, próximas etapas, aprovações, resultados"
Nota Fiscal,"valor, quantidade, produto, código, cliente, empresa, data, descrição, impostos, emissão"
Contrato de Trabalho,"salário, jornada, benefícios, empregado, empregador, cláusulas, demissão, vínculo, acordos, direitos"
Declaração,"assinatura, validade, autenticidade, data, declaração, motivo, responsável, certidão, comprovação"
Atestado,"autenticidade, assinatura, validade, data, declaração, motivo, certidão, responsável, comprovação"
Relatório Técnico,"projeto, análise, dados, metodologia, conclusão, resultados, testes, execução, recomendações, relatório"
Proposta Comercial,"cliente, orçamento, prazo, serviço, produto, preço, proposta, negociação, contrato, condições"
Contrato,"assinado, cláusula, prazo, validade, parte, contrato, obrigações, pagamento, assinatura, acordo"
Relatório Financeiro,"balanço, ativo, passivo, receita, despesa, lucro, prejuízo, balanço patrimonial, demonstração, análise"
Ata de Reunião,"presença, discussão, decisão, agenda, ata, pauta, participantes, relatório, conclusão, ações"
Nota Fiscal,"produto, valor, imposto, venda, cliente, empresa, quantidade, código, data, total"
Contrato de Trabalho,"empregado, empregador, salário, carga horária, benefícios, contrato, cláusula, admissão, rescisão, jornada"
Declaração,"informação, declaração, autenticidade, assinatura, data, responsável, verificação, dados, confirmação, documento"
Atestado,"saúde, médico, justificativa, ausência, período, data, assinatura, paciente, tratamento, condição"
Relatório Técnico,"análise, metodologia, resultados, conclusão, recomendação, técnica, experimento, dados, pesquisa, avaliação"
Proposta Comercial,"oferta, preço, condições, negociação, cliente, produto, serviço, contrato, pagamento, entrega"
Memorando,"nota, comunicado, informação, destinatário, remetente, data, assunto, resumo, instruções, referência"
Contrato,"assinado, cláusula, prazo, validade, parte, contrato, obrigações, pagamento, assinatura, acordo"
Relatório Financeiro,"balanço, ativo, passivo, receita, despesa, lucro, prejuízo, balanço patrimonial, demonstração, análise"
Ata de Reunião,"presença, discussão, decisão, agenda, ata, pauta, participantes, relatório, conclusão, ações"
Nota Fiscal,"produto, valor, imposto, venda, cliente, empresa, quantidade, código, data, total"
Contrato de Trabalho,"empregado, empregador, salário, carga horária, benefícios, contrato, cláusula, admissão, rescisão, jornada"
Declaração,"informação, declaração, autenticidade, assinatura, data, responsável, verificação, dados, confirmação, documento"
Atestado,"saúde, médico, justificativa, ausência, período, data, assinatura, paciente, tratamento, condição"
Relatório Técnico,"análise, metodologia, resultados, conclusão, recomendação, técnica, experimento, dados, pesquisa, avaliação"
Proposta Comercial,"oferta, preço, condições, negociação, cliente, produto, serviço, contrato, pagamento, entrega"
Memorando,"nota, comunicado, informação, destinatário, remetente, data, assunto, resumo, instruções, referência"
Contrato,"assinado, cláusula, prazo, validade, parte, contrato, obrigações, pagamento, assinatura, acordo"
Relatório Financeiro,"balanço, ativo, passivo, receita, despesa, lucro, prejuízo, balanço patrimonial, demonstração, análise"
Ata de Reunião,"presença, discussão, decisão, agenda, ata, pauta, participantes, relatório, conclusão, ações"
Nota Fiscal,"produto, valor, imposto, venda, cliente, empresa, quantidade, código, data, total"
Contrato de Trabalho,"empregado, empregador, salário, carga horária, benefícios, contrato, cláusula, admissão, rescisão, jornada"
Declaração,"informação, declaração, autenticidade, assinatura, data, responsável, verificação, dados, confirmação, documento"
Atestado,"saúde, médico, justificativa, ausência, período, data, assinatura, paciente, tratamento, condição"
Relatório Técnico,"análise, metodologia, resultados, conclusão, recomendação, técnica, experimento, dados, pesquisa, avaliação"
Proposta Comercial,"oferta, preço, condições, negociação, cliente, produto, serviço, contrato, pagamento, entrega"
Memorando,"nota, comunicado, informação, destinatário, remetente, data, assunto, resumo, instruções, referência"
Contrato,"acordo, cláusula, assinatura, prazo, condições"
Relatório Financeiro,"balanço, receita, despesa, lucro, ativo"
Ata de Reunião,"participantes, data, decisão, tópicos, responsável"
Nota Fiscal,"produto, valor, imposto, cliente, número"
Contrato de Trabalho,"função, salário, período, contrato, benefícios"
Declaração,"autenticidade, confirmação, declaração, dados, firma"
Atestado,"saúde, diagnóstico, médico, data, paciente"
Relatório Técnico,"metodologia, resultado, análise, procedimento, testes"
Proposta Comercial,"oferta, proposta, preço, cliente, produto"
Memorando,"assunto, data, destinatário, mensagem, referência"
Contrato,"cláusula, prazo, parte, obrigação, validade"
Relatório Financeiro,"balanço, receita, despesas, ativo, passivo"
Ata de Reunião,"data, participantes, decisão, pontos, ações"
Nota Fiscal,"valor, descrição, cliente, item, data"
Contrato de Trabalho,"período, salário, função, acordo, término"
Declaração,"dados, autenticidade, assinatura, descrição, firma"
Atestado,"data, saúde, diagnóstico, profissional, assinatura"
Relatório Técnico,"dados, análise, resultado, metodologia, equipamentos"
Proposta Comercial,"produto, preço, oferta, cliente, condições"
Memorando,"assunto, data, mensagem, destinatário, referência"
Contrato,"partes, cláusulas, validade, assinatura, condições"
Relatório Financeiro,"receita, despesa, lucro, balanço, ativo"
Ata de Reunião,"tópico, decisão, data, participantes, ações"
Nota Fiscal,"produto, valor, número, cliente, data"
Contrato de Trabalho,"função, salário, data, contrato, benefícios"
Declaração,"confirmação, dados, firma, autenticidade, descrição"
Atestado,"diagnóstico, data, paciente, médico, assinatura"
Relatório Técnico,"análise, resultado, procedimento, metodologia, dados"
Proposta Comercial,"oferta, cliente, preço, produto, condições"
Memorando,"data, assunto, destinatário, mensagem, referência"
Contrato,"assinatura, cláusulas, validade, partes, condições"
Relatório Financeiro,"despesas, receita, balanço, ativo, passivo"
Ata de Reunião,"decisão, participantes, tópicos, data, ações"
Nota Fiscal,"valor, produto, cliente, número, descrição"
Contrato de Trabalho,"período, salário, função, benefícios, contrato"
Declaração,"autenticidade, dados, firma, descrição, confirmação"
Atestado,"diagnóstico, data, médico, paciente, assinatura"
Relatório Técnico,"metodologia, análise, resultado, dados, procedimentos"
Proposta Comercial,"produto, oferta, cliente, preço, condições"
Memorando,"mensagem, data, destinatário, assunto, referência"
Contrato,"cláusulas, assinatura, validade, partes, condições"
Relatório Financeiro,"lucro, receita, balanço, ativo, despesas"
Ata de Reunião,"tópicos, data, decisões, participantes, ações"
Nota Fiscal,"cliente, valor, produto, número, data"
Contrato de Trabalho,"função, período, contrato, salário, benefícios"
Declaração,"firma, dados, descrição, autenticidade, confirmação"
Atestado,"paciente, diagnóstico, assinatura, médico, data"
Relatório Técnico,"resultados, análise, metodologia, dados, procedimentos"
Proposta Comercial,"cliente, oferta, preço, condições, produto"
Memorando,"mensagem, data, assunto, destinatário, referência"
Contrato,"partes, validade, assinatura, cláusulas, condições"
Relatório Financeiro,"receita, despesas, balanço, lucro, ativo"
Ata de Reunião,"decisões, tópicos, participantes, data, ações"
Nota Fiscal,"produto, valor, cliente, número, descrição"
Contrato de Trabalho,"contrato, função, benefícios, salário, período"
Declaração,"firma, dados, descrição, autenticidade, confirmação"
Atestado,"diagnóstico, médico, paciente, data, assinatura"
Relatório Técnico,"análise, metodologia, resultado, dados, procedimentos"
Proposta Comercial,"preço, cliente, produto, oferta, condições"
Memorando,"data, assunto, mensagem, destinatário, referência"
Contrato,"validade, partes, assinatura, cláusulas, condições"
Relatório Financeiro,"balanço, receita, despesas, lucro, ativo"
Ata de Reunião,"data, decisões, tópicos, participantes, ações"
Nota Fiscal,"cliente, produto, valor, número, descrição"
Contrato de Trabalho,"função, período, salário, benefícios, contrato"
Declaração,"firma, descrição, autenticidade, dados, confirmação"
Atestado,"paciente, diagnóstico, data, assinatura, médico"
Relatório Técnico,"dados, análise, procedimento, resultados, metodologia"
Proposta Comercial,"condições, cliente, oferta, produto, preço"
Memorando,"assunto, mensagem, destinatário, data, referência"
Contrato,"cláusulas, validade, partes, assinatura, condições"
Relatório Financeiro,"receita, despesas, ativo, balanço, lucro"
Ata de Reunião,"decisões, tópicos, data, participantes, ações"
Nota Fiscal,"valor, produto, número, cliente, descrição"
Contrato de Trabalho,"período, salário, função, benefícios, contrato"
Declaração,"autenticidade, dados, firma, descrição, confirmação"
Atestado,"diagnóstico, data, médico, assinatura, paciente"
Relatório Técnico,"metodologia, resultado, análise, dados, procedimentos"
Proposta Comercial,"cliente, produto, oferta, preço, condições"
Memorando,"referência, data, assunto, destinatário, mensagem"
Contrato,"partes, assinatura, validade, cláusulas, condições"
Relatório Financeiro,"balanço, ativo, receita, despesas, lucro"
